Date,Latency
20070616,30;35;50
20070617,30;35;50
20070618,30;35;50
20070619,30;35;50
20070620,30;35;50
20070621,30;35;50
20070622,30;35;50
20070623,30;35;50
20070624,30;35;50
20070625,30;35;50
20070626,30;35;50
20070627,30;35;50
20070628,30;35;50
20070629,30;35;50
20070630,30;35;50
20070701,30;35;50
20070702,30;35;50
20070703,30;35;50
20070704,30;35;50
20070705,30;35;40
20070706,30;35;40
20070707,30;35;40
20070708,30;35;40
20070709,30;35;40
20070710,30;35;40
20070711,30;35;40
20070712,30;35;40
20070713,30;35;40
20070714,30;35;40
20070715,30;35;40
20070716,30;35;40
20070717,30;35;40
20070718,30;35;40
20070719,30;35;40
20070720,30;35;40
20070721,30;35;40
20070722,30;35;40
20070723,30;35;40
20070724,30;35;40
20070725,30;35;40
20070726,30;35;40
20070727,30;35;40
20070728,30;35;40
20070729,30;35;40
20070730,30;35;40
20070731,30;35;40
20070801,30;35;40
20070802,30;35;40
20070803,30;35;40
20070804,30;35;40
20070805,30;35;40
20070806,30;35;40
20070807,30;35;40
20070808,30;35;40
20070809,30;35;40
20070810,30;35;40
20070811,30;35;40
20070812,30;35;40
20070813,30;35;40
20070814,30;35;40
20070815,30;35;40
20070816,30;35;40
20070817,30;35;40
20070818,30;35;40
20070819,30;35;40
20070820,30;35;40
20070821,30;35;40
20070822,30;35;40
20070823,30;35;40
20070824,30;40;40
20070825,30;40;40
20070826,30;40;40
20070827,30;40;40
20070828,30;40;40
20070829,30;40;40
20070830,30;40;40
20070831,30;40;40
20070901,30;40;40
20070902,30;40;40
20070903,30;40;40
20070904,30;40;40
20070905,30;40;40
20070906,30;40;40
20070907,30;40;40
20070908,30;40;40
20070909,30;40;40
20070910,30;40;40
20070911,30;40;40
20070912,30;40;40
20070913,30;40;50
20070914,30;40;50
20070915,30;40;50
20070916,30;40;50
20070917,30;40;50
20070918,30;40;50
20070919,30;40;50
20070920,30;40;50
20070921,30;40;50
20070922,30;40;50
20070923,30;40;50
20070924,30;40;50
20070925,25;40;50
20070926,25;40;50
20070927,25;40;50
20070928,25;40;50
20070929,25;40;50
20070930,25;40;50
20071001,25;40;50
20071002,25;40;50
20071003,25;40;50
20071004,25;40;50
20071005,25;40;50
20071006,25;40;50
20071007,25;40;50
20071008,25;40;50
20071009,25;40;50
20071010,25;40;50
20071011,25;40;50
20071012,25;40;50
20071013,25;40;50
20071014,25;40;50
20071015,25;40;50
20071016,25;40;50
20071017,25;40;50
20071018,25;40;50
20071019,25;40;50
20071020,25;40;50
20071021,25;40;45
20071022,25;40;45
20071023,25;40;45
20071024,25;40;45
20071025,25;40;45
20071026,25;40;45
20071027,25;40;45
20071028,25;40;45
20071029,25;40;45
20071030,25;40;45
20071031,25;40;45
20071101,25;40;45
20071102,25;40;45
20071103,25;40;45
20071104,25;40;45
20071105,25;40;45
20071106,25;40;45
20071107,25;40;45
20071108,25;40;45
20071109,25;40;45
20071110,25;40;45
20071111,25;40;45
20071112,25;40;45
20071113,25;40;45
20071114,25;40;45
20071115,25;40;45
20071116,25;30;45
20071117,25;30;45
20071118,25;30;45
20071119,25;30;45
20071120,25;30;45
20071121,25;30;45
20071122,25;30;45
20071123,25;30;45
20071124,25;30;45
20071125,25;30;45
20071126,25;30;45
20071127,25;30;50
20071128,25;30;50
20071129,25;30;50
20071130,25;30;50
20071201,25;30;50
20071202,25;30;50
20071203,25;30;50
20071204,25;30;50
20071205,25;30;50
20071206,25;30;50
20071207,25;30;50
20071208,25;30;50
20071209,25;30;50
20071210,25;30;50
20071211,25;30;50
20071212,25;30;50
20071213,25;30;50
20071214,25;30;50
20071215,25;30;50
20071216,25;30;50
20071217,25;30;50
20071218,25;30;50
20071219,25;30;35
20071220,25;30;35
20071221,25;30;35
20071222,25;30;35
20071223,25;30;35
20071224,25;30;35
20071225,25;30;35
20071226,25;30;35
20071227,25;30;35
20071228,25;30;35
20071229,25;30;35
20071230,25;30;35
20071231,25;30;35
